"primary","shannon","simpson","invsimpson","observerd_index","chao1","ACE"
"J_XYL_F_0001_01",1.87229576343533,0.675323315707743,3.07998710218394,24,24,24
"J_XYL_F_0001_02",2.32100491043823,0.701769813698004,3.35311462732808,72,72,72
"J_XYL_F_0002_01",3.55929701548979,0.965351326971218,28.8611341383643,50,51,51.6046176046176
"J_XYL_F_0002_02",3.78459948111385,0.966909903083744,30.2205219443993,83,83,83
"J_XYL_F_0003_01",3.19294321164807,0.949650179418597,19.8610439610853,35,35,36
"J_XYL_F_0003_02",2.16998665842661,0.679987376363339,3.1248767271612,61,62,61.6133333333333
"J_XYL_F_0004_01",3.35091247356746,0.948061809504583,19.2536549783775,55,55,55
"J_XYL_F_0004_02",2.50740718308808,0.72450055192539,3.62977133707063,75,75,75
"J_XYL_F_0005_01",2.40430389248362,0.730272689916138,3.70744808780796,48,48,48
"J_XYL_F_0005_02",3.46104346262982,0.957078431305654,23.298309694159,57,57,57
"J_XYL_F_0006_01",2.31489350592289,0.806976183761462,5.18070784987591,27,27,27
"J_XYL_F_0006_02",2.43686628299397,0.882727835215262,8.52717268275533,21,21,NA
"J_XYL_F_0010_01",3.78471946580992,0.96806411899619,31.3127419243799,74,74.3333333333333,75.2682926829268
"J_XYL_F_0010_02",3.72687565204299,0.950636199114948,20.2577593716617,89,89,89
"J_XYL_F_0012_01",2.01614631155012,0.645431452613053,2.82032912216741,44,44,44
"J_XYL_F_0012_02",1.85938750719289,0.551466255277627,2.22948665906724,59,59,59
"J_XYL_F_0013_01",2.88541532856958,0.857182285003955,7.0019324985538,71,71,71
"J_XYL_F_0013_02",1.45802068580542,0.521117115499604,2.08819323547817,52,52,52
"J_XYL_F_0015_01",2.56176673485462,0.844037594027248,6.41180157335292,40,40,40
"J_XYL_F_0015_02",2.55512311849861,0.789718003052531,4.75551884857652,57,57,57.3196128347562
"J_XYL_F_0016_01",2.98851082624013,0.883507634053108,8.58425349911677,57,57,57
"J_XYL_F_0016_02",3.23445693677763,0.924845684965858,13.3059558795221,60,60,60
"J_XYL_F_0018_01",3.70499928957615,0.964531829299795,28.1942930875265,73,73,73.2964444444444
"J_XYL_F_0018_02",2.25227596039764,0.835187238627547,6.06749132574841,19,19,19
"J_XYL_F_0020_01",3.55625465195311,0.956203450768785,22.8328491069174,70,70,70
"J_XYL_F_0020_02",3.41266208684227,0.950711837289948,20.2888471595648,59,59,59
"J_XYL_F_0025_01",3.19199693009021,0.934759383034477,15.3278746663057,46,46,NA
"J_XYL_F_0025_02",3.71226457950646,0.944581421720088,18.0444903322696,96,96,96
"J_XYL_F_0031_01",3.22527739285683,0.88810523995925,8.93696898439049,75,75,75.358144
"J_XYL_F_0031_02",3.13385479884148,0.904206899095699,10.4391651440433,64,64,64.3859252929688
"J_XYL_F_0032_01",3.39120806125925,0.943651236200147,17.7466182497266,69,69,69.3263549804688
